ticker,company_name,year,market_cap,category,sector,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
ACE,Action Construction Equipment Ltd,1995,"₹14,232 Cr",Mid Cap,"Machinery, Equipment & Components","₹1,160.30",-0.74%,₹917.45,"₹1,600.00",26.47%,-27.48%,"₹1,195.39","₹1,222.91","₹1,267.79",-1.65%,-3.32%,-2.31%,-5.76%,-7.13%,-19.66%,425.50%,1777.51%,"103,607","135,671","153,936","238,781","262,637",-56.61%,-43.18%,-35.53%,-60.55%,-48.34%,-41.39%,-9.08%,0.4,"₹1,169.00",33.76,34.37,28.96,18.68%
MAANALU,Maan Aluminium Ltd,2003,₹650 Cr,Small Cap,Metals & Mining,₹119.20,0.40%,₹75.51,₹259.50,57.86%,-54.07%,₹123.09,₹115.77,₹124.52,0.83%,-0.42%,-6.74%,42.62%,-0.14%,-14.50%,311.60%,1650.37%,"17,714","18,677","45,406","100,798","87,044",-82.43%,-81.47%,-54.95%,-79.65%,-78.54%,-47.84%,15.80%,0.2,₹118.73,41.53,2.87,4.82,-40.46%
PGIL,Pearl Global Industries Ltd,1989,"₹6,940 Cr",Mid Cap,Textiles & Apparel,"₹1,566.90",-1.55%,₹770.85,"₹1,717.00",103.27%,-8.74%,"₹1,510.49","₹1,372.71","₹1,280.32",1.92%,4.24%,16.40%,38.06%,-2.81%,89.27%,705.91%,2931.92%,"14,082","49,727","90,898","112,234","135,318",-87.45%,-55.69%,-19.01%,-89.59%,-63.25%,-32.83%,-17.06%,0.1,"₹1,591.50",29.84,52.87,43.87,20.52%
FOCUS,Focus Lighting and Fixtures Ltd,2005,₹706 Cr,Small Cap,Homebuilding & Construction Supplies,₹103.50,-1.71%,₹63.78,₹147.00,62.28%,-29.59%,₹108.88,₹106.08,₹106.98,-0.39%,-2.58%,-16.16%,0.25%,-8.34%,-27.71%,344.78%,,"46,951","28,405","73,326","196,445","217,631",-76.10%,-85.54%,-62.67%,-78.43%,-86.95%,-66.31%,-9.73%,0.2,₹105.30,46.21,2.24,5.91,-62.10%
RUCHIRA,Ruchira Papers Ltd,1980,₹417 Cr,Micro Cap,Paper & Forest Products,₹139.49,-0.20%,₹106.70,₹152.88,30.73%,-8.76%,₹139.31,₹135.47,₹127.28,0.24%,-0.93%,0.63%,10.02%,14.23%,-3.19%,32.56%,239.81%,"22,447","52,885","83,551","76,639","60,420",-70.71%,-30.99%,9.02%,-62.85%,-12.47%,38.29%,26.84%,0.3,₹139.77,6.18,22.56,14.14,59.55%
INGERRAND,Ingersoll-Rand (India) Ltd,1921,"₹13,135 Cr",Mid Cap,"Machinery, Equipment & Components","₹4,211.10",-0.66%,"₹3,055.00","₹4,694.00",37.84%,-10.29%,"₹3,938.78","₹3,893.51","₹3,897.76",0.21%,3.74%,9.90%,17.30%,11.46%,-0.42%,155.18%,565.73%,"4,721","20,731","13,308","21,249","21,131",-77.78%,-2.44%,-37.37%,-77.66%,-1.90%,-37.02%,0.55%,0.2,"₹4,238.90",49.68,84.75,73.03,16.05%
PRAJIND,Praj Industries Ltd,1985,"₹9,127 Cr",Mid Cap,Construction & Engineering,₹493.05,-0.46%,₹443.90,₹875.00,11.07%,-43.65%,₹496.14,₹492.44,₹618.98,0.27%,-0.57%,-0.78%,-4.77%,-33.31%,-31.27%,28.40%,660.29%,"245,229","463,787","558,934","898,550","897,610",-72.71%,-48.38%,-37.80%,-72.68%,-48.33%,-37.73%,0.10%,0.3,₹495.40,41.4,11.91,16.81,-29.15%
DLINKINDIA,D Link (India) Limited,2008,"₹1,942 Cr",Small Cap,Communications & Networking,₹541.40,1.17%,₹349.45,₹728.80,54.93%,-25.71%,₹551.64,₹520.89,₹502.43,1.93%,-6.52%,0.13%,20.83%,5.18%,-14.03%,306.46%,466.61%,"72,369","276,634","326,202","246,457","184,333",-70.64%,12.24%,32.36%,-60.74%,50.07%,76.96%,33.70%,0.3,₹535.75,18.45,29.37,26.84,9.43%
KAMDHENU,Kamdhenu Ltd,1994,₹848 Cr,Small Cap,Metals & Mining,₹30.28,-0.66%,₹25.10,₹67.30,20.64%,-55.01%,₹30.69,₹30.75,₹38.30,1.47%,0.66%,-5.29%,14.39%,-27.90%,-43.77%,58.78%,324.09%,"273,759","1,077,648","3,783,020","3,530,273","2,757,985",-92.25%,-69.47%,7.16%,-90.07%,-60.93%,37.17%,28.00%,0.1,₹30.48,13.89,2.18,19.75,-88.96%
FCL,Fineotex Chemical Ltd,2004,"₹3,107 Cr",Small Cap,Chemicals,₹275.20,1.64%,₹207.00,₹438.95,32.95%,-37.30%,₹274.34,₹260.37,₹293.52,2.84%,0.79%,4.73%,10.50%,-7.57%,-26.32%,33.85%,882.86%,"179,821","180,992","843,724","590,202","566,835",-69.53%,-69.33%,42.96%,-68.28%,-68.07%,48.85%,4.12%,0.3,₹270.75,28.92,9.53,11.06,-13.83%
